Speaker: simeon
  Tier Type: po, Annotations Count: 143
    Time Stamp: ("'ts1'", "'ts2'"), Annotation: ya
    Time Stamp: ("'ts3'", "'ts4'"), Annotation: entonces kunan punlla eee diez  de nueve nirkanchi nachu nueve de enero  de 2019
    Time Stamp: ("'ts5'", "'ts8'"), Annotation: pambamar quitopi kay llaktapi
    Time Stamp: ("'ts9'", "'ts10'"), Annotation: kunan rriksijuni compeñerakunata
    Time Stamp: ("'ts11'", "'ts12'"), Annotation: eeeee
    Time Stamp: ("'ts13'", "'ts14'"), Annotation: kaypikia   entonces kaypi pamba mar quito shuti kan nachu
    Time Stamp: ("'ts18'", "'ts20'"), Annotation:  eee kay  sectorpi  ima kuti shuk comunidadkuna
    Time Stamp: ("'ts21'", "'ts23'"), Annotation: ima shuti tyan
    Time Stamp: ("'ts27'", "'ts29'"), Annotation: chaypi
    Time Stamp: ("'ts32'", "'ts34'"), Annotation: chawpi estancia mm
    Time Stamp: ("'ts36'", "'ts38'"), Annotation: pamba marka
    Time Stamp: ("'ts39'", "'ts41'"), Annotation: chay
    Time Stamp: ("'ts43'", "'ts45'"), Annotation: chaypi tyan chay pùkara nachu o o  ashtawan chayta yalishkia
    Time Stamp: ("'ts49'", "'ts50'"), Annotation: aja
    Time Stamp: ("'ts51'", "'ts52'"), Annotation: ya
    Time Stamp: ("'ts53'", "'ts54'"), Annotation: mmmm
    Time Stamp: ("'ts55'", "'ts56'"), Annotation: chaypika kay urku
    Time Stamp: ("'ts57'", "'ts58'"), Annotation: shutita charin kay jawa urku
    Time Stamp: ("'ts59'", "'ts60'"), Annotation: pamba marka mismo o  ashka shuti
    Time Stamp: ("'ts63'", "'ts65'"), Annotation: ari  ju tukuy urku nachu
    Time Stamp: ("'ts67'", "'ts68'"), Annotation: mjm
    Time Stamp: ("'ts69'", "'ts71'"), Annotation: y chimbapi kay urku
    Time Stamp: ("'ts72'", "'ts74'"), Annotation: tabakundo urku shutita
    Time Stamp: ("'ts75'", "'ts77'"), Annotation: charinllu chay pikokuna
    Time Stamp: ("'ts82'", "'ts85'"), Annotation: Yurgu urku ari chayta cayambe  urku
    Time Stamp: ("'ts86'", "'ts88'"), Annotation: yurgu urku ari   shinapash nin la chimbapi
    Time Stamp: ("'ts89'", "'ts92'"), Annotation: Yurgu urku ari
    Time Stamp: ("'ts95'", "'ts96'"), Annotation: a aa Tabacundo urku Imbabura
    Time Stamp: ("'ts97'", "'ts99'"), Annotation: (aaaa lus....)
    Time Stamp: ("'ts103'", "'ts104'"), Annotation: kaypika  bueno y kay y  kikinkuna kaypi nacido kanguichik
    Time Stamp: ("'ts108'", "'ts110'"), Annotation: aaa kay comunidadpi ima familiakunata tyan ima apellidokuna tyan
    Time Stamp: ("'ts114'", "'ts117'"), Annotation: cobacango
    Time Stamp: ("'ts138'", "'ts141'"), Annotation: mjm
    Time Stamp: ("'ts143'", "'ts144'"), Annotation: chayka
    Time Stamp: ("'ts145'", "'ts146'"), Annotation: tapuna munarkani chay Oton
    Time Stamp: ("'ts147'", "'ts148'"), Annotation: kaypi kan parroquia
    Time Stamp: ("'ts149'", "'ts151'"), Annotation: tukuy ooo
    Time Stamp: ("'ts155'", "'ts156'"), Annotation: chaypi kan
    Time Stamp: ("'ts157'", "'ts159'"), Annotation:  chaypi cabecera alto kan
    Time Stamp: ("'ts160'", "'ts163'"), Annotation: mm y chayta imata rringuichu  o suleo ima pumlla
    Time Stamp: ("'ts166'", "'ts169'"), Annotation: ari
    Time Stamp: ("'ts171'", "'ts172'"), Annotation: chaypi Oton ima significadota charinllu yachanguichi shuti
    Time Stamp: ("'ts174'", "'ts176'"), Annotation: Oton
    Time Stamp: ("'ts178'", "'ts180'"), Annotation: y tayta mamakuna   abuelokuna ima ima yuyayta charirkachu  chay oton shuti
    Time Stamp: ("'ts181'", "'ts182'"), Annotation: imami kan
    Time Stamp: ("'ts184'", "'ts186'"), Annotation: ari ari
    Time Stamp: ("'ts187'", "'ts188'"), Annotation: bueno entonces chaypika
    Time Stamp: ("'ts189'", "'ts190'"), Annotation:  a tal vez ishkandi osea  primero kikin chay kipa kikin asha parlayta ushanguichik
    Time Stamp: ("'ts191'", "'ts192'"), Annotation: eeem  ima shina karka kay llaktapi pero punta  kikinkuna uchilla  kashpa
    Time Stamp: ("'ts204'", "'ts205'"), Annotation: chakilla
    Time Stamp: ("'ts210'", "'ts213'"), Annotation: lamparata charingapak wasipi
    Time Stamp: ("'ts214'", "'ts217'"), Annotation: micha  ima shina ninguichik luz micha
    Time Stamp: ("'ts218'", "'ts221'"), Annotation: na tyashkiachu micha
    Time Stamp: ("'ts222'", "'ts224'"), Annotation: ari
    Time Stamp: ("'ts255'", "'ts256'"), Annotation: ima shuti wayko nirkangui
    Time Stamp: ("'ts266'", "'ts268'"), Annotation: aa chimba pukyumanta
    Time Stamp: ("'ts269'", "'ts271'"), Annotation: chaypikia jatun fakchachu oo ima
    Time Stamp: ("'ts274'", "'ts277'"), Annotation: mmmm
    Time Stamp: ("'ts278'", "'ts281'"), Annotation: chaytashina  washaman
    Time Stamp: ("'ts284'", "'ts291'"), Annotation:  ya    ñuka rrishpaka chinga chingarisha
    Time Stamp: ("'ts292'", "'ts295'"), Annotation: shuk  punlla pushawangui
    Time Stamp: ("'ts300'", "'ts303'"), Annotation: nachu ali ali kanga filmangapak waykopi
    Time Stamp: ("'ts305'", "'ts309'"), Annotation: nachu tapushun compañerata   ahs parlachun paypak ima wawa kashpa ima  shina karka  kay sectorpi  ima yuyay
    Time Stamp: ("'ts313'", "'ts314'"), Annotation:  nachu ashalla  pudingui ima shina  karka kikin uchilla   wawawras
    Time Stamp: ("'ts316'", "'ts318'"), Annotation: kaypi
    Time Stamp: ("'ts343'", "'ts344'"), Annotation: aaa kaypika presidente karka
    Time Stamp: ("'ts345'", "'ts348'"), Annotation: ima horaskunapi
    Time Stamp: ("'ts365'", "'ts366'"), Annotation: ima shina kan kay trabajo
    Time Stamp: ("'ts367'", "'ts368'"), Annotation:  chay tsawar mishki trabajo  ima shina rrurrana kangui
    Time Stamp: ("'ts377'", "'ts379'"), Annotation: kaypi ufiangapalla oo jatungapak maypipak
    Time Stamp: ("'ts381'", "'ts382'"), Annotation: y madrugashpa rrina karkangui  ima kaspa tutamanta ashtawan  ali ali kan  o chishi navalinllu  japina o imawras   japina kan
    Time Stamp: ("'ts389'", "'ts391'"), Annotation: mmmm
    Time Stamp: ("'ts393'", "'ts394'"), Annotation: uyashkianguichik shuk  provinciakunapi nin rumbo chawar claro shuk parlaykuna kaypi ima parlay ima shina  parlanguichik uyarkani   ashalla pero na ima shina nirkangui
    Time Stamp: ("'ts395'", "'ts396'"), Annotation: chay plantata nirkangui
    Time Stamp: ("'ts398'", "'ts399'"), Annotation: tsauru
    Time Stamp: ("'ts401'", "'ts403'"), Annotation: aja shina nin kaypi nachu
    Time Stamp: ("'ts404'", "'ts407'"), Annotation: sanka tsauru
    Time Stamp: ("'ts408'", "'ts410'"), Annotation: chay chayllata kan
    Time Stamp: ("'ts411'", "'ts415'"), Annotation: tsauro o sanka igualchu kan
    Time Stamp: ("'ts418'", "'ts420'"), Annotation: a yaya
    Time Stamp: ("'ts421'", "'ts422'"), Annotation: yyy paypak panga chaykunata igual
    Time Stamp: ("'ts423'", "'ts425'"), Annotation: o shuk shutikunata charingacha
    Time Stamp: ("'ts427'", "'ts428'"), Annotation: ari
    Time Stamp: ("'ts433'", "'ts434'"), Annotation: tzanka
    Time Stamp: ("'ts436'", "'ts438'"), Annotation: tsauro o tzanka
    Time Stamp: ("'ts439'", "'ts440'"), Annotation: a ya ya
    Time Stamp: ("'ts441'", "'ts442'"), Annotation: eeee
    Time Stamp: ("'ts443'", "'ts445'"), Annotation:  entonces ninguichik shina   tsauro fanga o  tsauro sapi  chaykunata
    Time Stamp: ("'ts449'", "'ts451'"), Annotation: a ya
    Time Stamp: ("'ts453'", "'ts454'"), Annotation: (..........)
    Time Stamp: ("'ts455'", "'ts456'"), Annotation: emmmm
    Time Stamp: ("'ts457'", "'ts459'"), Annotation: pero nachu paseashun chay huertopì
    Time Stamp: ("'ts460'", "'ts462'"), Annotation: ya kay microfonota japikrini  churakrini kaypi
    Time Stamp: ("'ts463'", "'ts464'"), Annotation: vamos a pasear en la mm yo puedo cargar pero
    Time Stamp: ("'ts465'", "'ts466'"), Annotation: solo .....
    Time Stamp: ("'ts467'", "'ts468'"), Annotation: lo safo de aqui
    Time Stamp: ("'ts469'", "'ts470'"), Annotation: y la yevo
    Time Stamp: ("'ts471'", "'ts472'"), Annotation: jaku rriksingapak
    Time Stamp: ("'ts473'", "'ts474'"), Annotation: (risa ) chakrata ñuta tukuy  tarpushkiakunata rriksina munani
    Time Stamp: ("'ts475'", "'ts476'"), Annotation: ashalla
    Time Stamp: ("'ts478'", "'ts481'"), Annotation: a chaychu haber
    Time Stamp: ("'ts482'", "'ts484'"), Annotation: jaku
    Time Stamp: ("'ts485'", "'ts486'"), Annotation: rriksingapak
    Time Stamp: ("'ts487'", "'ts488'"), Annotation: ya ha
    Time Stamp: ("'ts489'", "'ts490'"), Annotation: sumak
    Time Stamp: ("'ts491'", "'ts492'"), Annotation: kaypi imata tarpushkiata charingui
    Time Stamp: ("'ts517'", "'ts518'"), Annotation: chaykuna jambi  kiwakuna o imati
    Time Stamp: ("'ts520'", "'ts523'"), Annotation: ari chayka mati ima shina nirkangui
    Time Stamp: ("'ts525'", "'ts526'"), Annotation: na chay mati kiwa ima shina nirkangui
    Time Stamp: ("'ts527'", "'ts528'"), Annotation: ultimuk nirkangui
    Time Stamp: ("'ts529'", "'ts531'"), Annotation: kaypi tyash no sé
    Time Stamp: ("'ts532'", "'ts534'"), Annotation: ruda chay kipa
    Time Stamp: ("'ts536'", "'ts538'"), Annotation: aaa ya ima shina
    Time Stamp: ("'ts540'", "'ts542'"), Annotation: ficharingapak ari
    Time Stamp: ("'ts543'", "'ts545'"), Annotation: chaypikia aa kay payko nirkangui
    Time Stamp: ("'ts547'", "'ts548'"), Annotation: imapak kan
    Time Stamp: ("'ts550'", "'ts553'"), Annotation: aaa ya
    Time Stamp: ("'ts555'", "'ts557'"), Annotation: ari
    Time Stamp: ("'ts559'", "'ts561'"), Annotation: ashka ashka jiwata charinguichi
    Time Stamp: ("'ts564'", "'ts567'"), Annotation: juyanguilla
    Time Stamp: ("'ts568'", "'ts570'"), Annotation: aaa ima shina yakuwan o ima
    Time Stamp: ("'ts577'", "'ts578'"), Annotation: sumak
    Time Stamp: ("'ts584'", "'ts585'"), Annotation: aaa si
    Time Stamp: ("'ts586'", "'ts588'"), Annotation: ari
    Time Stamp: ("'ts589'", "'ts591'"), Annotation: sumak ñuka mana  pudinichu ña  wañunlla  ñuka pakta pushak-kuna na rriksinichu
    Time Stamp: ("'ts598'", "'ts600'"), Annotation: ari
    Time Stamp: ("'ts602'", "'ts605'"), Annotation: cierto
    Time Stamp: ("'ts607'", "'ts608'"), Annotation: may wawakuna
    Time Stamp: ("'ts614'", "'ts615'"), Annotation: ari
    Time Stamp: ("'ts616'", "'ts618'"), Annotation: aa ya
    Time Stamp: ("'ts619'", "'ts621'"), Annotation: pay paykuna na ayudanllu tarpunata
    Time Stamp: ("'ts625'", "'ts627'"), Annotation: ari ari sumak
    Time Stamp: ("'ts628'", "'ts629'"), Annotation: aa ya
    Time Stamp: ("'ts631'", "'ts632'"), Annotation: aa ya kikimpash charingui wasi  taerpushkia huertata
    Time Stamp: ("'ts635'", "'ts637'"), Annotation: aa ya
    Time Stamp: ("'ts638'", "'ts641'"), Annotation: y compañerakuna ayudanllu chaypi
